fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,2,3,1,3,28,32,30,40,2,13.47,-10.62833966,6.870651175
1,30,2,3,1,2.9,28,32,30,40,2,13.464,-10.7699148,6.836843225
1,30,2,3,1,2.8,28,32,30,40,2,13.476,-11.09151187,6.754684991
1,30,2,3,1,2.7,28,32,30,40,2,13.476,-11.49964337,6.930878468
1,30,2,3,1,2.6,28,32,30,40,2,13.5,-11.88359162,7.087127245
1,30,2,3,1,2.5,28,32,30,40,2,13.512,-12.03421912,7.401068489
1,30,2,3,1,2.4,28,32,30,40,2,13.53,-12.17519258,7.708842888
1,30,2,3,1,2.3,28,32,30,40,2,13.554,-12.48228365,7.890250335
1,30,2,3,1,2.2,28,32,30,40,2,13.56,-12.80435612,8.146413081
1,30,2,3,1,2.1,28,32,30,40,2,13.572,-13.02212128,8.308962249
1,30,2,3,1,2,28,32,30,40,2,13.59,-12.87128765,8.457788172
1,30,2,3,1,1.9,28,32,30,40,2,13.596,-13.25870113,8.576016149
1,30,2,3,1,1.8,28,32,30,40,2,13.596,-13.11321848,8.645900943
1,30,2,3,1,1.7,28,32,30,40,2,13.632,-13.00214779,8.732569522
1,30,2,3,1,1.6,28,32,30,40,2,13.644,-13.16470439,8.728637461
1,30,2,3,1,1.5,28,32,30,40,2,13.65,-12.702306,8.701799907
1,30,2,3,1,1.4,28,32,30,40,2,13.674,-12.47831207,8.732151424
1,30,2,3,1,1.3,28,32,30,40,2,12.294,-11.37818285,9.728953655
1,30,2,3,1,1.2,28,32,30,40,2,12.336,-13.61751096,9.706399325
1,30,2,3,1,1.1,28,32,30,40,2,12.402,-15.64025282,9.653058079
1,30,2,3,1,1,28,32,30,40,2,12.486,-18.81313518,9.411445863
1,30,2,3,1,0.9,28,32,30,40,2,12.546,-25.75456859,9.307838964
1,30,2,3,1,0.8,28,32,30,40,2,12.612,-33.45025214,9.227926638
1,30,2,3,1,0.7,28,32,30,40,2,12.684,-21.12236396,9.17995057
1,30,2,3,1,0.6,28,32,30,40,2,12.762,-13.79629568,9.003232457
1,30,2,3,1,0.5,28,32,30,40,2,12.84,-10.53549002,8.99676442
1,30,2,3,1,0.4,28,32,30,40,2,14.292,-11.48147783,8.381578858
1,30,2,3,1,0.3,28,32,30,40,2,14.412,-23.7773899,7.965914396
1,30,2,3,1,0.2,28,32,30,40,2,14.562,-14.29084755,6.186947595
1,30,2,3,1,0.1,28,32,30,40,2,14.916,-10.89311427,5.693435251
1,30,2,3,1,3,28,32,30,40,1.9,13.458,-10.70229607,6.940575692
1,30,2,3,1,2.9,28,32,30,40,1.9,13.464,-11.06850359,6.906553873
1,30,2,3,1,2.8,28,32,30,40,1.9,13.476,-11.47088052,6.834461376
1,30,2,3,1,2.7,28,32,30,40,1.9,13.488,-11.70280948,7.058296306
1,30,2,3,1,2.6,28,32,30,40,1.9,13.506,-11.89659785,7.26898038
1,30,2,3,1,2.5,28,32,30,40,1.9,13.524,-12.24206226,7.659772643
1,30,2,3,1,2.4,28,32,30,40,1.9,13.536,-12.33280577,7.854253679
1,30,2,3,1,2.3,28,32,30,40,1.9,13.548,-12.69896884,8.116487789
1,30,2,3,1,2.2,28,32,30,40,1.9,13.566,-12.75706258,8.333658796
1,30,2,3,1,2.1,28,32,30,40,1.9,13.578,-12.91261676,8.365214249
1,30,2,3,1,2,28,32,30,40,1.9,13.59,-13.02568583,8.610249741
1,30,2,3,1,1.9,28,32,30,40,1.9,13.608,-12.85616446,8.681479761
1,30,2,3,1,1.8,28,32,30,40,1.9,13.632,-12.5183376,8.695615302
1,30,2,3,1,1.7,28,32,30,40,1.9,13.644,-12.39550996,8.744596429
1,30,2,3,1,1.6,28,32,30,40,1.9,13.632,-12.45674815,8.732117678
1,30,2,3,1,1.5,28,32,30,40,1.9,13.656,-12.21065759,8.818381119
1,30,2,3,1,1.4,28,32,30,40,1.9,13.674,-12.29721027,8.80230275
1,30,2,3,1,1.3,28,32,30,40,1.9,13.704,-11.7218221,8.810663389
1,30,2,3,1,1.2,28,32,30,40,1.9,12.36,-13.34253871,9.659256899
1,30,2,3,1,1.1,28,32,30,40,1.9,12.426,-15.64239399,9.606198746
1,30,2,3,1,1,28,32,30,40,1.9,12.492,-19.31718419,9.438765852
1,30,2,3,1,0.9,28,32,30,40,1.9,12.552,-26.6826955,9.408151817
1,30,2,3,1,0.8,28,32,30,40,1.9,12.618,-30.51077412,9.222689685
1,30,2,3,1,0.7,28,32,30,40,1.9,12.696,-20.07908917,9.126180526
1,30,2,3,1,0.6,28,32,30,40,1.9,12.762,-13.32837423,9.128986331
1,30,2,3,1,0.5,28,32,30,40,1.9,12.852,-10.12636267,9.1099765
1,30,2,3,1,0.4,28,32,30,40,1.9,14.292,-11.55595213,8.343100878
1,30,2,3,1,0.3,28,32,30,40,1.9,14.4,-24.16310967,8.059995158
1,30,2,3,1,0.2,28,32,30,40,1.9,14.562,-13.75467022,6.688560236
1,30,2,3,1,0.1,28,32,30,40,1.9,15.666,-11.02520362,5.34060366
1,30,2,3,1,3,28,32,30,40,1.8,13.452,-11.00681824,6.941605075
1,30,2,3,1,2.9,28,32,30,40,1.8,13.458,-11.29511292,6.913646617
1,30,2,3,1,2.8,28,32,30,40,1.8,13.47,-11.43479684,7.01367268
1,30,2,3,1,2.7,28,32,30,40,1.8,13.488,-11.60139287,7.10843715
1,30,2,3,1,2.6,28,32,30,40,1.8,13.506,-11.96915686,7.55730314
1,30,2,3,1,2.5,28,32,30,40,1.8,13.524,-12.11820001,7.858210059
1,30,2,3,1,2.4,28,32,30,40,1.8,12.522,-12.1189632,8.073489952
1,30,2,3,1,2.3,28,32,30,40,1.8,13.554,-12.45857947,8.349823919
1,30,2,3,1,2.2,28,32,30,40,1.8,13.566,-12.48749715,8.381475369
1,30,2,3,1,2.1,28,32,30,40,1.8,13.584,-12.55909001,8.578008239
1,30,2,3,1,2,28,32,30,40,1.8,13.584,-12.93130051,8.584468862
1,30,2,3,1,1.9,28,32,30,40,1.8,13.614,-12.45541251,8.67889224
1,30,2,3,1,1.8,28,32,30,40,1.8,13.632,-12.02602209,8.806357505
1,30,2,3,1,1.7,28,32,30,40,1.8,13.65,-11.88664319,8.763915625
1,30,2,3,1,1.6,28,32,30,40,1.8,13.638,-11.99402623,8.778720413
1,30,2,3,1,1.5,28,32,30,40,1.8,12.18,-12.2846286,9.561074851
1,30,2,3,1,1.4,28,32,30,40,1.8,13.692,-11.16722022,8.82095107
1,30,2,3,1,1.3,28,32,30,40,1.8,12.276,-11.62717084,9.578472615
1,30,2,3,1,1.2,28,32,30,40,1.8,12.366,-13.58742653,9.643513559
1,30,2,3,1,1.1,28,32,30,40,1.8,12.426,-15.97914025,9.515340754
1,30,2,3,1,1,28,32,30,40,1.8,12.498,-19.66473761,9.393635672
1,30,2,3,1,0.9,28,32,30,40,1.8,12.558,-28.11922932,9.353664602
1,30,2,3,1,0.8,28,32,30,40,1.8,12.63,-32.63953746,9.2821528
1,30,2,3,1,0.7,28,32,30,40,1.8,12.696,-20.18985633,9.142427625
1,30,2,3,1,0.6,28,32,30,40,1.8,12.762,-13.19847378,9.168461691
1,30,2,3,1,0.5,28,32,30,40,1.8,12.858,-10.40340077,9.079781327
1,30,2,3,1,0.4,28,32,30,40,1.8,14.286,-11.75157924,8.539003293
1,30,2,3,1,0.3,28,32,30,40,1.8,14.424,-25.30916222,7.985202634
1,30,2,3,1,0.2,28,32,30,40,1.8,14.586,-13.59698834,6.369997675
1,30,2,3,1,0.1,28,32,30,40,1.8,15.684,-11.55037799,5.345025344
1,30,2,3,1,3,28,32,30,40,1.7,13.44,-11.12465656,7.005081884
1,30,2,3,1,2.9,28,32,30,40,1.7,13.464,-11.31754274,6.884501593
1,30,2,3,1,2.8,28,32,30,40,1.7,13.476,-11.55080081,7.370212386
1,30,2,3,1,2.7,28,32,30,40,1.7,13.506,-11.74305855,7.567653486
1,30,2,3,1,2.6,28,32,30,40,1.7,13.518,-12.00885588,7.80829308
1,30,2,3,1,2.5,28,32,30,40,1.7,13.53,-11.91289019,8.071588472
1,30,2,3,1,2.4,28,32,30,40,1.7,13.548,-12.02082599,8.155399247
1,30,2,3,1,2.3,28,32,30,40,1.7,13.566,-11.95626438,8.388282006
1,30,2,3,1,2.2,28,32,30,40,1.7,13.56,-11.98990839,8.460701421
1,30,2,3,1,2.1,28,32,30,40,1.7,13.572,-12.54024698,8.430208078
1,30,2,3,1,2,28,32,30,40,1.7,13.596,-12.0134087,8.671502965
1,30,2,3,1,1.9,28,32,30,40,1.7,13.62,-11.71458736,8.666930729
1,30,2,3,1,1.8,28,32,30,40,1.7,13.638,-11.66156411,8.740906516
1,30,2,3,1,1.7,28,32,30,40,1.7,13.656,-11.30323056,8.814558628
1,30,2,3,1,1.6,28,32,30,40,1.7,13.65,-11.75004885,8.734916981
1,30,2,3,1,1.5,28,32,30,40,1.7,13.68,-11.37377025,8.747263309
1,30,2,3,1,1.4,28,32,30,40,1.7,12.252,-10.81299288,9.681716461
1,30,2,3,1,1.3,28,32,30,40,1.7,12.306,-12.47347421,9.635658207
1,30,2,3,1,1.2,28,32,30,40,1.7,12.372,-13.56340533,9.611588338
1,30,2,3,1,1.1,28,32,30,40,1.7,12.444,-15.98920713,9.606648184
1,30,2,3,1,1,28,32,30,40,1.7,12.504,-20.21947352,9.431294015
1,30,2,3,1,0.9,28,32,30,40,1.7,12.57,-29.54467941,9.460916953
1,30,2,3,1,0.8,28,32,30,40,1.7,12.636,-30.53242635,9.321580322
1,30,2,3,1,0.7,28,32,30,40,1.7,12.708,-19.4206556,9.234090166
1,30,2,3,1,0.6,28,32,30,40,1.7,12.762,-13.14713255,9.113252115
1,30,2,3,1,0.5,28,32,30,40,1.7,12.864,-10.36088544,9.071284933
1,30,2,3,1,0.4,28,32,30,40,1.7,14.292,-11.80264281,8.596613625
1,30,2,3,1,0.3,28,32,30,40,1.7,14.406,-26.78191364,7.924227251
1,30,2,3,1,0.2,28,32,30,40,1.7,14.598,-13.77173189,5.89800869
1,30,2,3,1,0.1,28,32,30,40,1.7,15.696,-11.73793249,5.513935501
1,30,2,3,1,3,28,32,30,40,1.6,13.446,-11.21433797,6.89709838
1,30,2,3,1,2.9,28,32,30,40,1.6,13.458,-11.29829001,7.101830816
1,30,2,3,1,2.8,28,32,30,40,1.6,13.488,-11.67992069,7.49550032
1,30,2,3,1,2.7,28,32,30,40,1.6,13.506,-11.53770746,7.757259076
1,30,2,3,1,2.6,28,32,30,40,1.6,13.518,-11.77642373,8.032433517
1,30,2,3,1,2.5,28,32,30,40,1.6,12.462,-12.04227952,8.026883371
1,30,2,3,1,2.4,28,32,30,40,1.6,13.548,-11.72970309,8.385610255
1,30,2,3,1,2.3,28,32,30,40,1.6,13.566,-11.75731812,8.448237608
1,30,2,3,1,2.2,28,32,30,40,1.6,13.572,-11.92334387,8.581306597
1,30,2,3,1,2.1,28,32,30,40,1.6,13.59,-11.61022375,8.713017956
1,30,2,3,1,2,28,32,30,40,1.6,15.738,-14.52130786,8.327531082
1,30,2,3,1,1.9,28,32,30,40,1.6,13.62,-11.4966396,8.776283631
1,30,2,3,1,1.8,28,32,30,40,1.6,13.644,-11.12611153,8.801770282
1,30,2,3,1,1.7,28,32,30,40,1.6,13.662,-10.82100265,8.848511582
1,30,2,3,1,1.6,28,32,30,40,1.6,13.65,-11.0961537,8.783403734
1,30,2,3,1,1.5,28,32,30,40,1.6,13.68,-10.86971392,8.785899972
1,30,2,3,1,1.4,28,32,30,40,1.6,12.258,-10.84732977,9.62170842
1,30,2,3,1,1.3,28,32,30,40,1.6,12.312,-12.50007262,9.680483857
1,30,2,3,1,1.2,28,32,30,40,1.6,12.396,-13.80650851,9.78249486
1,30,2,3,1,1.1,28,32,30,40,1.6,12.456,-16.10938449,9.56079995
1,30,2,3,1,1,28,32,30,40,1.6,12.51,-20.75254594,9.527882217
1,30,2,3,1,0.9,28,32,30,40,1.6,12.57,-30.02307608,9.377551952
1,30,2,3,1,0.8,28,32,30,40,1.6,12.642,-29.37311979,9.255894046
1,30,2,3,1,0.7,28,32,30,40,1.6,12.714,-19.00912986,9.194720015
1,30,2,3,1,0.6,28,32,30,40,1.6,12.78,-13.40327672,9.187185491
1,30,2,3,1,0.5,28,32,30,40,1.6,12.876,-10.26218597,9.145367631
1,30,2,3,1,0.4,28,32,30,40,1.6,14.304,-12.14954596,8.654427556
1,30,2,3,1,0.3,28,32,30,40,1.6,14.418,-29.71142649,7.62615079
1,30,2,3,1,0.2,28,32,30,40,1.6,14.592,-13.31305642,6.46815878
1,30,2,3,1,0.1,28,32,30,40,1.6,15.696,-12.01909453,5.381699576
1,30,2,3,1,3,28,32,30,40,1.5,13.452,-11.33427147,6.983427892
1,30,2,3,1,2.9,28,32,30,40,1.5,13.47,-11.40198044,7.530203762
1,30,2,3,1,2.8,28,32,30,40,1.5,13.494,-11.41604265,7.734294332
1,30,2,3,1,2.7,28,32,30,40,1.5,13.506,-11.41453573,7.863268153
1,30,2,3,1,2.6,28,32,30,40,1.5,13.518,-11.42927129,8.200142979
1,30,2,3,1,2.5,28,32,30,40,1.5,13.536,-11.51377141,8.38592019
1,30,2,3,1,2.4,28,32,30,40,1.5,13.56,-11.40237798,8.395219206
1,30,2,3,1,2.3,28,32,30,40,1.5,13.566,-11.48264119,8.698576949
1,30,2,3,1,2.2,28,32,30,40,1.5,13.584,-11.38990144,8.765261866
1,30,2,3,1,2.1,28,32,30,40,1.5,13.59,-11.31149634,8.772888026
1,30,2,3,1,2,28,32,30,40,1.5,13.614,-11.16307838,8.812659585
1,30,2,3,1,1.9,28,32,30,40,1.5,13.626,-10.69051165,8.75200468
1,30,2,3,1,1.8,28,32,30,40,1.5,13.644,-10.42507866,8.810122798
1,30,2,3,1,1.7,28,32,30,40,1.5,13.644,-10.60541406,8.757096247
1,30,2,3,1,1.6,28,32,30,40,1.5,13.662,-10.38358401,8.786436583
1,30,2,3,1,1.5,28,32,30,40,1.5,12.216,-9.807435783,9.549161472
1,30,2,3,1,1.4,28,32,30,40,1.5,12.282,-10.6995282,9.606617879
1,30,2,3,1,1.3,28,32,30,40,1.5,12.336,-12.26148514,9.652944545
1,30,2,3,1,1.2,28,32,30,40,1.5,12.366,-14.94548855,9.613925243
1,30,2,3,1,1.1,28,32,30,40,1.5,12.462,-16.32150158,9.557722866
1,30,2,3,1,1,28,32,30,40,1.5,12.516,-20.7987869,9.405256035
1,30,2,3,1,0.9,28,32,30,40,1.5,12.582,-30.96042362,9.464543716
1,30,2,3,1,0.8,28,32,30,40,1.5,12.654,-29.01433401,9.271648344
1,30,2,3,1,0.7,28,32,30,40,1.5,12.72,-19.1468896,9.195646288
1,30,2,3,1,0.6,28,32,30,40,1.5,12.78,-12.89917005,9.181982725
1,30,2,3,1,0.5,28,32,30,40,1.5,12.882,-10.1884169,9.215034172
