fw,gl,gt,il,iw,mt,pl,pw,sl,sw,tt,freq,s11,gain
1,30,2,2,1.2,3,30.5,33.5,35,40,0.5,12,-6.638943808,7.800698254
1,30,2,2,1.2,3,30.5,33,35,40,0.5,12,-7.453974666,7.818254337
1,30,2,2,1.2,3,30.5,32.5,35,40,0.5,12.03,-7.891150564,7.786401699
1,30,2,2,1.2,3,30.5,32,35,40,0.5,12.072,-8.365254622,7.806741383
1,30,2,2,1.2,3,30.5,31.5,35,40,0.5,12.126,-8.912556728,7.79582909
1,30,2,2,1.2,3,30.5,31,35,40,0.5,12.096,-9.589182721,7.880592909
1,30,2,2,1.2,3,30.5,30.5,35,40,0.5,12.174,-9.363209773,7.929671312
1,30,2,2,1.2,3,30.5,30,35,40,0.5,12.24,-9.409613338,8.010598662
1,30,2,2,1.2,3,30,33.5,35,40,0.5,12.036,-5.700626446,7.606053792
1,30,2,2,1.2,3,30,33,35,40,0.5,12.066,-6.276191476,7.560072098
1,30,2,2,1.2,3,30,32.5,35,40,0.5,12,-5.834714254,7.694394912
1,30,2,2,1.2,3,30,32,35,40,0.5,12.144,-7.210851353,7.523495757
1,30,2,2,1.2,3,30,31.5,35,40,0.5,12.132,-7.708861095,7.709847776
1,30,2,2,1.2,3,30,31,35,40,0.5,12.192,-7.865656663,7.679820627
1,30,2,2,1.2,3,30,30.5,35,40,0.5,12.258,-8.14218892,7.813208229
1,30,2,2,1.2,3,30,30,35,40,0.5,12.318,-8.120833784,7.973354077
1,30,2,2,1.2,3,29.5,33.5,35,40,0.5,18,-5.571483478,7.944843399
1,30,2,2,1.2,3,29.5,33,35,40,0.5,18,-5.787540201,7.845267767
1,30,2,2,1.2,3,29.5,32.5,35,40,0.5,12.126,-5.948385103,7.360693296
1,30,2,2,1.2,3,29.5,32,35,40,0.5,12.168,-6.294119014,7.302578534
1,30,2,2,1.2,3,29.5,31.5,35,40,0.5,12.234,-6.476379488,7.209601738
1,30,2,2,1.2,3,29.5,31,35,40,0.5,12.258,-6.776362543,7.405338436
1,30,2,2,1.2,3,29.5,30.5,35,40,0.5,12.312,-7.068401912,7.601068316
1,30,2,2,1.2,3,29.5,30,35,40,0.5,12.42,-7.112607251,8.189042979
1,30,2,2,1.2,3,29,33.5,35,40,0.5,18,-7.530326033,8.185500996
1,30,2,2,1.2,3,29,33,35,40,0.5,18,-7.824219727,8.414854454
1,30,2,2,1.2,3,29,32.5,35,40,0.5,18,-7.966150194,8.52793264
1,30,2,2,1.2,3,29,32,35,40,0.5,18,-8.032257408,8.67900833
1,30,2,2,1.2,3,29,31.5,35,40,0.5,18,-8.011500357,8.787969204
1,30,2,2,1.2,3,29,31,35,40,0.5,18,-8.01156196,8.762424908
1,30,2,2,1.2,3,29,30.5,35,40,0.5,18,-7.867951054,8.844222365
1,30,2,2,1.2,3,29,30,35,40,0.5,18,-7.614840151,8.808900339
1,30,2,2,1.2,3,28.5,33.5,35,40,0.5,18,-10.23654631,8.435383314
1,30,2,2,1.2,3,28.5,33,35,40,0.5,18,-10.12726352,8.528207408
1,30,2,2,1.2,3,28.5,32.5,35,40,0.5,18,-10.35492042,8.646236766
1,30,2,2,1.2,3,28.5,32,35,40,0.5,18,-10.24554172,8.896430324
1,30,2,2,1.2,3,28.5,31.5,35,40,0.5,18,-10.32617792,8.865861866
1,30,2,2,1.2,3,28.5,31,35,40,0.5,18,-10.02072538,8.935571643
1,30,2,2,1.2,3,28.5,30.5,35,40,0.5,18,-9.968480385,8.87658679
1,30,2,2,1.2,3,28.5,30,35,40,0.5,18,-10.44375896,8.737322772
1,30,2,2,1.2,3,28,33.5,35,40,0.5,18,-13.60744612,8.451164308
1,30,2,2,1.2,3,28,33,35,40,0.5,18,-13.50572305,8.606908117
