fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,2,2,2,3,30,32,35,40,2,12.048,-11.15159096,7.620903177
1,30,2,2,2,2.5,30,32,35,40,2,12.228,-11.50354044,6.824742685
1,30,2,2,2,2,30,32,35,40,2,12.54,-9.988414634,7.222226704
1,30,2,2,2,1.5,30,32,35,40,2,12.636,-9.034343272,8.771821304
1,30,2,2,2,3,30,32,35,40,1.3,12.084,-8.643850567,7.654894499
1,30,2,2,2,2.5,30,32,35,40,1.3,12.27,-8.599923512,6.964210805
1,30,2,2,2,2,30,32,35,40,1.3,12.564,-7.441338497,7.796146024
1,30,2,2,2,1.5,30,32,35,40,1.3,12.744,-6.825415079,8.796594371
1,30,2,2,2,3,30,32,35,40,0.7,12.12,-6.49244447,7.659912164
1,30,2,2,2,2.5,30,32,35,40,0.7,12.3,-6.446492898,7.203545555
1,30,2,2,2,2,30,32,35,40,0.7,16.986,-5.861179658,9.099163026
1,30,2,2,2,1.5,30,32,35,40,0.7,17.028,-5.628868311,8.412592254
1,30,2,2,2,3,30,32,35,40,0.1,18,-6.780434011,8.001409101
1,30,2,2,2,2.5,30,32,35,40,0.1,16.704,-6.51219746,8.339158325
1,30,2,2,2,2,30,32,35,40,0.1,17.238,-7.546047637,7.671912377
1,30,2,2,2,1.5,30,32,35,40,0.1,17.82,-8.146522417,7.092003224
1,30,1.8,2,2,3,30,32,35,40,2,12.054,-11.15812416,7.583994497
1,30,1.8,2,2,2.5,30,32,35,40,2,12.24,-11.50711509,6.779475332
1,30,1.8,2,2,2,30,32,35,40,2,12.546,-9.98776147,7.198901533
1,30,1.8,2,2,1.5,30,32,35,40,2,12.63,-9.100535555,8.796584328
1,30,1.8,2,2,3,30,32,35,40,1.3,12.144,-8.569635318,7.42105542
1,30,1.8,2,2,2.5,30,32,35,40,1.3,12.276,-8.593159305,6.946309046
1,30,1.8,2,2,2,30,32,35,40,1.3,12.57,-7.453053012,7.808546858
1,30,1.8,2,2,1.5,30,32,35,40,1.3,17.334,-6.49453111,8.275905561
1,30,1.8,2,2,3,30,32,35,40,0.7,12.12,-6.467697969,7.672002017
1,30,1.8,2,2,2.5,30,32,35,40,0.7,12.306,-6.450704764,7.21317095
1,30,1.8,2,2,2,30,32,35,40,0.7,16.992,-6.05763369,9.170672012
1,30,1.8,2,2,1.5,30,32,35,40,0.7,17.55,-8.267399318,8.384592195
1,30,1.8,2,2,3,30,32,35,40,0.1,18,-6.719136176,7.973338323
1,30,1.8,2,2,2.5,30,32,35,40,0.1,16.164,-9.083137035,8.375357764
1,30,1.8,2,2,2,30,32,35,40,0.1,17.208,-7.636210073,7.55168927
1,30,1.8,2,2,1.5,30,32,35,40,0.1,17.742,-10.62369436,6.756292823
1,30,1.4,2,2,3,30,32,35,40,2,12.066,-11.36022844,7.529510761
