fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain,bandwidth
1,30,2.4,1.6,1,3.2,28,32,30,40,2.4,13.848,-60.26727206,6.701364204,0.835131582
1,30,2.4,1.6,1,3,28,32,30,40,2.4,13.818,-46.8486427,6.747379789,0.808695882
1,30,2.4,1.6,1,2.8,28,32,30,40,2.4,13.788,-42.18348555,6.719527643,0.760153385
1,30,2.4,1.6,1,2.6,28,32,30,40,2.4,13.77,-50.90689204,6.834847222,0.709741218
1,30,2.4,1.6,1,2.4,28,32,30,40,2.4,13.74,-51.73749476,6.913480863,0.649938608
1,30,2.4,1.6,1,2.2,28,32,30,40,2.4,13.728,-39.08758992,7.330052854,0.589263994
1,30,2.4,1.6,1,2,28,32,30,40,2.4,13.722,-32.17741788,7.748012528,0.524346813
1,30,2.4,1.6,1,1.8,28,32,30,40,2.4,13.728,-28.36782295,8.039971288,0.46960846
1,30,2.4,1.6,1,1.6,28,32,30,40,2.4,13.734,-26.56626468,8.192150124,0.418885071
1,30,2.4,1.6,1,1.4,28,32,30,40,2.4,13.764,-27.91145514,8.179607169,0.372933636
1,30,2.4,1.6,1,1.2,28,32,30,40,2.4,13.776,-30.29033124,8.093956741,0.335760639
1,30,2.4,1.6,1,1,28,32,30,40,2.4,13.8,-47.6857146,7.916844538,0.294726387
1,30,2.4,1.6,1,3.2,28,32,30,40,2.1,13.824,-40.14850043,6.837691257,0.841227898
1,30,2.4,1.6,1,3,28,32,30,40,2.1,13.794,-37.58185706,6.860281322,0.785649626
1,30,2.4,1.6,1,2.8,28,32,30,40,2.1,13.77,-44.47714454,6.971276519,0.722970987
1,30,2.4,1.6,1,2.6,28,32,30,40,2.1,13.746,-52.14444714,7.047545455,0.660835896
1,30,2.4,1.6,1,2.4,28,32,30,40,2.1,13.728,-37.61667165,7.49133739,0.596541947
1,30,2.4,1.6,1,2.2,28,32,30,40,2.1,13.728,-29.28564002,7.7113269,0.537394993
1,30,2.4,1.6,1,2,28,32,30,40,2.1,13.728,-25.61823076,8.056097734,0.478467055
1,30,2.4,1.6,1,1.8,28,32,30,40,2.1,13.734,-24.07639852,8.317525328,0.431299384
1,30,2.4,1.6,1,1.6,28,32,30,40,2.1,13.758,-23.76835728,8.401121458,0.385917458
1,30,2.4,1.6,1,1.4,28,32,30,40,2.1,13.782,-25.60954751,8.287062977,0.34511769
1,30,2.4,1.6,1,1.2,28,32,30,40,2.1,13.8,-28.43239636,8.172554606,0.311705827
1,30,2.4,1.6,1,1,28,32,30,40,2.1,13.818,-43.23073208,7.905644124,0.281795733
1,30,2.4,1.6,1,3.2,28,32,30,40,1.9,13.806,-40.00002792,6.84278992,0.812979927
1,30,2.4,1.6,1,3,28,32,30,40,1.9,13.782,-37.24955094,6.854555842,0.75101066
1,30,2.4,1.6,1,2.8,28,32,30,40,1.9,13.746,-42.28769678,6.922846439,0.685883828
1,30,2.4,1.6,1,2.6,28,32,30,40,1.9,13.728,-36.39780741,7.363108709,0.619568642
1,30,2.4,1.6,1,2.4,28,32,30,40,1.9,13.728,-30.00001972,7.751798522,0.560804252
1,30,2.4,1.6,1,2.2,28,32,30,40,1.9,13.734,-26.75980347,8.047402036,0.509788368
1,30,2.4,1.6,1,2,28,32,30,40,1.9,13.746,-23.7365115,8.241518304,0.452272739
