iter	RMSE
0	0.934329614
1	0.8690630008
2	0.8192898846
3	0.7690958431
4	0.7249044174
5	0.6794180447
6	0.6515260155
7	0.6238934125
8	0.5955028903
9	0.5686098077
10	0.5376000843
11	0.5132294925
12	0.4910692527
13	0.4740291366
14	0.4614697623
15	0.4487604869
16	0.4328170387
17	0.4216758997
18	0.4091062213
19	0.4002914799
20	0.3904520984
21	0.3814698935
22	0.3712560862
23	0.3647410188
24	0.3571938657
25	0.3514571152
26	0.3438498742
27	0.3374728553
28	0.3333493786
29	0.3299196529
30	0.3262107861
31	0.323128587
32	0.3180319194
33	0.3124429728
34	0.3087169855
35	0.3047822421
36	0.3024234699
37	0.2974873991
38	0.2939109076
39	0.2898997523
40	0.2887767031
41	0.2875830688
42	0.2869498646
43	0.2839221136
44	0.2819121116
45	0.2796109015
46	0.2778702078
47	0.2765069616
48	0.2735440208
49	0.2720453105
50	0.2718992739
51	0.2704983614
52	0.2695220073
53	0.2671824798
54	0.2661704888
55	0.2636275916
56	0.2614970022
57	0.259184132
58	0.2569196651
59	0.2559821099
60	0.2549230317
61	0.2533381391
62	0.2516925025
63	0.2498814193
64	0.2485661945
65	0.24676342
66	0.2458699139
67	0.2448355748
68	0.2438638496
69	0.2428338851
70	0.2413114658
71	0.2404020037
72	0.2390180473
73	0.2382556294
74	0.2370225317
75	0.2360851238
76	0.234814447
77	0.2338936008
78	0.2330645029
79	0.2323795675
80	0.2312180761
81	0.229533619
82	0.2285138857
83	0.2277728717
84	0.2271224024
85	0.2261877391
86	0.2249114356
87	0.2238783848
88	0.2227346894
89	0.2218415381
90	0.2198691532
91	0.2194567672
92	0.2186256935
93	0.2177317957
94	0.2170326047
95	0.2163499462
96	0.2146281129
97	0.2138687893
98	0.2131858393
99	0.2125918528
