iter	Passed	Remaining
0	2	229
1	4	216
2	6	197
3	7	191
4	9	184
5	11	187
6	13	177
7	15	179
8	17	179
9	19	175
10	21	172
11	23	170
12	25	170
13	27	170
14	29	166
15	31	164
16	33	163
17	34	159
18	36	154
19	37	149
20	38	144
21	39	141
22	41	137
23	42	133
24	42	128
25	43	124
26	44	120
27	45	117
28	46	114
29	47	110
30	48	107
31	48	103
32	49	100
33	50	97
34	50	94
35	51	91
36	52	89
37	52	86
38	53	83
39	54	81
40	54	79
41	55	76
42	56	74
43	56	72
44	57	69
45	57	67
46	58	65
47	58	63
48	59	61
49	59	59
50	60	57
51	60	56
52	61	54
53	61	52
54	62	51
55	62	49
56	63	47
57	63	46
58	64	44
59	64	43
60	65	41
61	65	40
62	66	38
63	66	37
64	67	36
65	67	34
66	67	33
67	68	32
68	69	31
69	69	29
70	70	28
71	70	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	74	21
78	75	20
79	75	18
80	76	17
81	76	16
82	77	15
83	77	14
84	77	13
85	78	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	84	2
97	84	1
98	85	0
99	85	0
